Model,Accuracy,Balanced Accuracy,Macro F1,Weighted ROC AUC,Log Loss,Fit Seconds
Random Forest,0.4207207207207207,0.420701239873186,0.42071632536727943,0.5879009106878732,1.0814299079011631,3.28
Bagging,0.36693693693693696,0.3667311756393738,0.3660627574444754,0.5381515706341808,1.0946482225590304,10.75
XGBoost,0.3417117117117117,0.3416411156922443,0.34159293282070297,0.511541650812247,1.1016771793365479,3.4
Decision Tree,0.3355855855855856,0.33528743913929987,0.33177934189866537,0.5042053666765458,1.1313672831724348,0.62
Gradient Boosting,0.32981981981981984,0.3295512298551955,0.3282121477326914,0.5033855376221416,1.0998324133552162,62.15
Logistic Regression,0.33756756756756756,0.3370563843069528,0.3319078507593228,0.4975731823660126,1.0993641297196954,0.51
AdaBoost,0.330990990990991,0.32943008392212575,0.2641681432168667,0.496693075021815,1.1058204293537908,11.69
